file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv,index1
0000000182.bmp,31,0,2,0,0,0,1,0,1
0000000183.bmp,31,0,3,0,0,0,1,0,1
0000000184.bmp,31,0,4,0,0,0,1,0,1
0000000185.bmp,31,0,5,0,0,0,1,0,1
0000000186.bmp,31,0,6,0,0,0,1,0,1
0000000187.bmp,32,0,1,0,0,0,1,0,1
0000000188.bmp,32,0,2,0,0,0,1,0,1
0000000189.bmp,32,0,3,0,0,0,1,0,1
0000000190.bmp,32,0,4,0,0,0,1,0,1
0000000191.bmp,32,0,5,0,0,0,1,0,1
0000000192.bmp,32,0,6,0,0,0,1,0,1
0000000193.bmp,33,0,1,0,0,0,1,0,1
0000000194.bmp,33,0,2,0,0,0,1,0,1
0000000195.bmp,33,0,3,0,0,0,1,0,1
0000000196.bmp,33,0,4,0,0,0,1,0,1
0000000197.bmp,33,0,5,0,0,0,1,0,1
0000000198.bmp,33,0,6,0,0,0,1,0,1
0000000199.bmp,34,0,1,0,0,0,1,0,1
0000000200.bmp,34,0,2,0,0,0,1,0,1
0000000201.bmp,34,0,3,0,0,0,1,0,1
0000000202.bmp,34,0,4,0,0,0,1,0,1
0000000203.bmp,34,0,5,0,0,0,1,0,1
0000000204.bmp,34,0,6,0,0,0,1,0,1
0000000205.bmp,35,0,1,0,0,0,1,0,1
0000000206.bmp,35,0,2,0,0,0,1,0,1
0000000207.bmp,35,0,3,0,0,0,1,0,1
0000000208.bmp,35,0,4,0,0,0,1,0,1
0000000209.bmp,35,0,5,0,0,0,1,0,1
0000000210.bmp,35,0,6,0,0,0,1,0,1
0000000211.bmp,36,0,1,0,0,0,1,0,1
0000000212.bmp,36,0,2,0,0,0,1,0,1
0000000213.bmp,36,0,3,0,0,0,1,0,1
0000000214.bmp,36,0,4,0,0,0,1,0,1
0000000215.bmp,36,0,5,0,0,0,1,0,1
0000000216.bmp,36,0,6,0,0,0,1,0,1
0000000217.bmp,37,0,1,0,0,0,1,0,1
0000000218.bmp,37,0,2,0,0,0,1,0,1
0000000219.bmp,37,0,3,0,0,0,1,0,1
0000000220.bmp,37,0,4,0,0,0,1,0,1
0000000221.bmp,37,0,5,0,0,0,1,0,1
0000000222.bmp,37,0,6,0,0,0,1,0,1
0000000223.bmp,38,0,1,0,0,0,1,0,1
0000000224.bmp,38,0,2,0,0,0,1,0,1
0000000225.bmp,38,0,3,0,0,0,1,0,1
0000000226.bmp,38,0,4,0,0,0,1,0,1
0000000227.bmp,38,0,5,0,0,0,1,0,1
0000000228.bmp,38,0,6,0,0,0,1,0,1
