file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv
0000000195.bmp,13,2,6,1,0,0,0,0
0000000196.bmp,19,1,6,1,0,0,0,0
0000000197.bmp,8,11,6,1,0,0,0,0
0000000198.bmp,3,10,6,1,0,0,0,0
0000000199.bmp,17,9,6,1,0,0,0,0
0000000200.bmp,5,8,6,1,0,0,0,0
0000000201.bmp,9,7,6,1,0,0,0,0
0000000202.bmp,1,6,6,1,0,0,0,0
0000000203.bmp,7,5,6,1,0,0,0,0
0000000204.bmp,12,12,6,1,0,0,0,0
0000000205.bmp,11,4,6,1,0,0,0,0
0000000206.bmp,15,3,6,1,0,0,0,0
0000000207.bmp,13,2,6,1,0,0,0,0
0000000208.bmp,19,1,6,1,0,0,0,0
0000000209.bmp,8,11,6,1,0,0,0,0
0000000210.bmp,3,10,6,1,0,0,0,0
0000000211.bmp,17,9,6,1,0,0,0,0
0000000212.bmp,5,8,6,1,0,0,0,0
0000000213.bmp,9,7,6,1,0,0,0,0
0000000214.bmp,1,6,6,1,0,0,0,0
0000000215.bmp,7,5,6,1,0,0,0,0
0000000216.bmp,12,12,6,1,0,0,0,0
0000000217.bmp,11,4,1,1,0,0,0,0
0000000218.bmp,18,3,1,1,0,0,0,0
0000000219.bmp,21,2,1,1,0,0,0,0
0000000220.bmp,22,1,1,1,0,0,0,0
0000000221.bmp,17,11,1,1,0,0,0,0
0000000222.bmp,25,10,1,1,0,0,0,0
0000000223.bmp,13,9,1,1,0,0,0,0
0000000224.bmp,29,8,1,1,0,0,0,0
0000000225.bmp,19,7,1,1,0,0,0,0
0000000226.bmp,15,6,1,1,0,0,0,0
0000000227.bmp,27,5,1,1,0,0,0,0
0000000228.bmp,23,12,1,1,0,0,0,0
0000000229.bmp,11,4,1,1,0,0,0,0
0000000230.bmp,18,3,1,1,0,0,0,0
0000000231.bmp,21,2,1,1,0,0,0,0
0000000232.bmp,22,1,1,1,0,0,0,0
0000000233.bmp,17,11,1,1,0,0,0,0
0000000234.bmp,25,10,1,1,0,0,0,0
0000000235.bmp,13,9,1,1,0,0,0,0
0000000236.bmp,29,8,1,1,0,0,0,0
0000000237.bmp,19,7,1,1,0,0,0,0
0000000238.bmp,15,6,1,1,0,0,0,0
0000000239.bmp,27,5,1,1,0,0,0,0
0000000240.bmp,23,12,1,1,0,0,0,0
0000000241.bmp,11,4,1,1,0,0,0,0
0000000242.bmp,18,3,1,1,0,0,0,0
0000000243.bmp,21,2,1,1,0,0,0,0
0000000244.bmp,22,1,1,1,0,0,0,0
0000000245.bmp,17,11,1,1,0,0,0,0
0000000246.bmp,25,10,1,1,0,0,0,0
0000000247.bmp,13,9,1,1,0,0,0,0
0000000248.bmp,29,8,1,1,0,0,0,0
0000000249.bmp,19,7,1,1,0,0,0,0
0000000250.bmp,15,6,1,1,0,0,0,0
0000000251.bmp,27,5,1,1,0,0,0,0
0000000252.bmp,23,12,1,1,0,0,0,0
